house,lat,long,fuel
FBK001,64.86001,-147.913,0.05883231148126276
FBK004,64.89163,-147.674,0.1442233042511227
FBK005,64.8487,-147.968,0.05480908230397743
FBK007,64.91331,-147.602,0.1511921074983164
FBK008,64.8496,-147.715,0.11387314149245789
FBK010,64.92074,-147.918,0.08890486226606249
FBK012,64.78514,-148.034,0.17788303362043573
FBK016,64.76378,-148.083,0.04267872453024982
"FBK017,FBK018",64.81606,-148.002,0.03600578047342564
"FBK019,FBK020",64.87386,-147.813,0.09449350923276675
FBK023,64.8388,-148.064,0.09497088008213785
"FBK024,FBK025",64.92216,-147.931,0.11938055919198189
FBK026,64.9112,-147.879,0.0048160597310580675
FBK027,64.89892,-147.738,0.09161121733888945
FBK029,64.91823,-147.868,0.14517865805840605
FBK030,64.8601,-147.895,0.09452379813256218
FBK031,64.8873,-147.475,0.05611585880458096
FBK032,64.80488,-148.07,0.08108690006999858
FBK034,64.87842,-147.413,0.055895179279893376
FBK035,64.89301,-147.831,0.16885559084882235
FBK036,64.79853,-148.075,0.1413759511387924
FBK037,64.86302,-147.888,0.03548102122738964
FBK038,64.90147,-147.72,0.15420078773555823
FBK039,64.89185,-147.755,0.1993146051484018
FBK040,64.84648,-147.826,0.19616747025384404
FBK041,64.90553,-147.879,0.01828555862321453
FBK043,64.83624,-147.929,0.07721372074262244
FBK044,64.80454,-147.449,0.09810700767485081
FBK045,64.89274,-147.743,0.1320878764206702
